#run  I_x   I_y            I_z    B_mu          err

5112 -1.0   0.0            0     1.524         0.034  
5114 -3.0   0.0            0     3.996         0.019  
5115 -7.0   0.0            0     10.249        0.025  
5116  7.0   0.0            0     12.485        0.022  
5117  4.0   0.0            0     7.721         0.016  
5118  2.0   0.0            0     4.589         0.018  
5119  0     -6.0           0     2.260         0.024  
5120  0     -8.0           0     2.817         0.025  
5121  0     -12.0          0     3.950         0.023  
5122  0      12.0          0     4.991         0.021  
5123  0      6.0           0     3.185         0.024  
5124  0      9.0           0     4.049         0.026  
5126 -0.709 -1.730       2000    5.500         0.039  
5127 -0.709 -1.730       1000    2.072         0.057
5128 -0.709 -1.730       -1000   4.836         0.060
5129 -0.709 -1.730       -2000   8.274         0.034
5130 -0.709 -1.730       -600    3.443         0.027
5125 -9.0    0             0     13.480        0.029  
